FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
graduationcap,BOSS-2014 (v.2),42,0,2,2,0,0.047619047619047616,0.047619047619047616,38,Graduation cap,21,0.5,0.5526315789473685,6,1.7139166270392634,42,4.357142857142857,0.850292017885292,42,1.9285714285714286,0.9472130402153502,33,6,39,Clothing,27,1,0.8181818181818182,0.717948717948718,0.8510013145580396
lifesaver,BOSS-2014 (v.2),42,0,3,11,0,0.07142857142857142,0.2619047619047619,28,Life saver,9,0.21428571428571427,0.32142857142857145,13,3.091672778582327,42,4.357142857142857,0.850292017885292,42,1.7857142857142858,0.8420565500306245,32,0,32,Outdoor activity & sport item,23,0,0.71875,0.71875,1.436189844084022
lintroller,BOSS-2014 (v.2),42,0,5,2,0,0.11904761904761904,0.047619047619047616,35,Lint roller,23,0.5476190476190477,0.6571428571428571,8,1.8278058742695884,42,4.357142857142857,0.7908448267958043,42,1.7142857142857142,0.7083376033211464,33,2,35,Household article & cleaner,20,2,0.6060606060606061,0.6285714285714286,1.6867247292267102
musicsheet,BOSS-2014 (v.2),42,0,1,1,0,0.023809523809523808,0.023809523809523808,40,music sheet,32,0.7619047619047619,0.8,7,1.2219280948873623,42,4.357142857142857,1.0551020889555978,42,2.738095238095238,1.3803414884929088,33,2,35,Musical instrument,26,1,0.7878787878787878,0.7714285714285715,1.0379870687018355
pig,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,pig,38,0.9047619047619048,0.9047619047619048,4,0.5965734820440876,42,4.357142857142857,1.0551020889555978,42,2.5714285714285716,1.3640480848197207,32,0,32,Mammal,30,0,0.9375,0.9375,0.3997900666170139
sandcastle,BOSS-2014 (v.2),42,0,1,0,0,0.023809523809523808,0,41,Sand castle,39,0.9285714285714286,0.9512195121951219,2,0.28119379643204256,42,4.357142857142857,0.9581849857407253,42,2.5952380952380953,1.1699389979828696,32,6,38,Building infrastructure,13,2,0.40625,0.39473684210526316,2.0351057415937133
seal,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,seal,37,0.8809523809523809,0.8809523809523809,4,0.6898254696731742,42,4.357142857142857,0.87850839693444,42,2.7857142857142856,1.3710546819024214,33,0,33,Sea mammal,29,0,0.8787878787878788,0.8787878787878788,0.5328350630342235
spicerack,BOSS-2014 (v.2),42,1,1,0,0.023809523809523808,0.023809523809523808,0,40,spice rack,34,0.8095238095238095,0.85,5,0.8787124922704872,42,4.357142857142857,0.9323829573164001,42,2.9285714285714284,1.0682298360270588,33,5,38,Kitchen & utensil,26,2,0.7878787878787878,0.7368421052631579,0.8710241897828375
sportsjersey,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,jersey,22,0.5238095238095238,0.5238095238095238,11,2.4286978135735033,42,4.357142857142857,0.8211065874017597,42,1.8571428571428572,0.8715399483288766,33,9,42,Clothing,30,1,0.9090909090909091,0.7380952380952381,0.4394969869215135
swissarmyknife01a,BOSS-2014 (v.2),42,0,1,1,0,0.023809523809523808,0.023809523809523808,40,pocket knife,17,0.40476190476190477,0.425,10,2.340395449585534,42,4.357142857142857,0.87850839693444,42,2.0476190476190474,0.8540400673864837,32,1,33,Hand labour tool & accessory,14,0,0.4375,0.42424242424242425,2.5135115182719727
